,address_full,lat,lon,bike_score,transit_score,walk_score
277,1333 W 22nd St F Houston 77008,,,,,
278,1333 W 22nd St F Houston 77008,,,,,
279,1333 W 22nd St G Houston 77008,,,,,
280,1333 W 22nd St G Houston 77008,,,,,
281,1335 Ella Place Houston 77008,29.8019551,-95.4299828,76,34,79
282,1337 W 24th Houston 77008,29.807757,-95.418138,58,41,54
283,1339B Prince St Houston 77008,29.7903249,-95.4134053,68,37,64
284,1340 W 25th Houston 77008,,,,,
285,135 N Maplewood St Houston 77011,,,,,
286,136 E 37th St Houston 77018,,,,,
287,1361 Studer St Houston 77007,29.7725768,-95.415454,65,42,82
288,1361 Studer St Houston 77007,29.7725768,-95.415454,65,42,82
289,1373 Studer St Houston 77007,29.7725768,-95.415454,65,42,82
290,138 E 31st 1/2 St Houston 77018,29.815137,-95.398009,67,39,66
291,1388 Studer St Houston 77007,29.7725768,-95.415454,65,42,82
292,140 N Milby St Houston 77003,29.7374125,-95.3438931,69,63,58
293,1401 Glenmore Forest St Houston 77055,29.7959707,-95.4871326,60,33,72
294,1403 Sylvester Houston 77009,29.811615,-95.371755,48,57,32
295,1403 W 26th St Houston 77008,29.809843,-95.414797,58,42,55
296,1405 Glenmore Forest St Houston 77055,29.7959707,-95.4871326,60,33,72
297,1405 Prince St  A Houston 77008,,,,,
298,1405 Sylvester Houston 77009,29.811615,-95.371755,48,57,32
299,1406 Asbury St Houston 77007,29.7689188,-95.4184893,64,43,78
300,1406 Curtin St Houston 77018,29.8315692,-95.41662035,49,44,26
301,1407 Dorothy St Houston 77008,29.7878615,-95.4088648814815,70,40,74
302,1407 Dorothy St Houston 77008,29.7878615,-95.4088648814815,70,40,74
303,1408 Bragg Houston 77009,29.812788,-95.355626,41,42,31
304,1408 Wheeler St Houston 77004,29.7170809,-95.344831,70,62,51
305,1411 Bayou St Houston 77020,29.7653817,-95.3374788,53,48,40
306,1411 Thornton Rd Houston 77018,29.832356,-95.423062,50,42,25
307,1411 Wheeler St Houston 77004,29.7170809,-95.344831,70,62,51
308,1413 Mystic St Houston 77020,29.7752943,-95.3197777,67,50,59
309,1414 Knox Houston 77007,29.761265,-95.4209414,52,41,60
310,1414 Laird St  A Houston 77008,,,,,
311,1415 Bayou St Houston 77020,29.7653817,-95.3374788,53,48,40
312,1416 Sabine Houston 77007,29.7609681,-95.3753195,76,87,73
313,1416 Sabine Houston 77007,29.7609681,-95.3753195,76,87,73
314,1417 Birdsall St Houston 77007,29.768901,-95.420167,63,43,79
315,1421 W 26th St  F Houston 77008,,,,,
316,1422 Bragg Houston 77009,29.812788,-95.355626,41,42,31
317,1423 Alexander Houston 77008,29.796785,-95.408389,67,43,66
318,1424 Lawrence St Houston 77008,29.813772,-95.408224,66,42,57
319,1425 Adkins Rd Houston 77055,29.791833,-95.520309,63,33,69
320,1425 Pine Chase Dr Houston 77055,29.798882,-95.488974,56,34,72
321,1426 Adkins Houston 77055,29.791833,-95.520309,63,33,69
322,1426 W A 21st St Houston 77008,,,,,
323,1426A Nashua St Houston 77008,29.8002188,-95.4122068,62,43,71
324,1427 W. 22nd Houston 77008,,,,,
325,1427 W. 22nd Houston 77008,,,,,
326,1430 Alexander St Houston 77008,29.796785,-95.408389,67,43,66
327,1433 W 25th Street Houston 77008,29.808826,-95.414769,58,42,55
328,1442 Yale St Houston 77008,29.8123817,-95.3993912,66,39,68
329,1446 Althea Dr Houston 77018,29.825827,-95.43708,64,40,54
330,1447 Heights #225 Houston 77008,,,,,
331,1447 Heights Blv #221 Houston 77008,,,,,
332,145 E 2nd St Houston 77007,29.7742004,-95.393147,58,45,55
333,1500 W 23rd St Houston 77008,29.8066926,-95.4224409,66,38,67
334,1500 W 23rd St Houston 77008,29.8066926,-95.4224409,66,38,67
335,1501 Ennis St Houston 77003,29.751029,-95.343851,81,72,73
336,1502 Thornton Houston 77018,29.832356,-95.423062,50,42,25
337,1504 Beall St Houston 77008,29.802714,-95.418027,55,41,60
338,1504 Beall St Houston 77008,29.802714,-95.418027,55,41,60
339,1505 Chippendale Rd Houston 77018,29.8220926,-95.4296389,76,39,70
340,1506 Cordell St Houston 77009,29.7990551,-95.3746802,53,57,67
341,1507 Laird St Houston 77008,29.796024,-95.410822,63,42,62
342,1507 Wilde Rock Way Houston 77018,29.8143554,-95.4294586,66,39,60
343,1508 Beall St Houston 77008,29.802714,-95.418027,55,41,60
344,1508 Lawrence St Houston 77008,29.813772,-95.408224,66,42,57
345,1509 Reinerman St Houston 77007,29.779897,-95.413623,58,37,72
346,1510 Beall St Houston 77008,29.802714,-95.418027,55,41,60
347,1510 Cohn Houston 77007,29.782558,-95.4220428,44,43,40
348,1510 W 26th #E Houston 77008,,,,,
349,1512 Beall St Houston 77008,29.802714,-95.418027,55,41,60
350,1512 Summer St  C Houston 77007,,,,,
351,1513 Malone St Houston 77007,29.7689063,-95.419331,63,43,79
352,1514 Ansbury Houston 77018,29.813193,-95.433296,61,38,56
353,1514 Beall St Houston 77008,29.802714,-95.418027,55,41,60
354,1514 Beall St Houston 77008,29.802714,-95.418027,55,41,60
355,1514 Prince St Houston 77008,29.7903249,-95.4134053,68,37,64
356,1514 Prince St Houston 77008,29.7903249,-95.4134053,68,37,64
357,1515 Oakdale #14 Houston 77004,29.718894,-95.373236,,,
358,1515 Oakdale St #1 Houston 77004,,,,,
359,1516 Dyer Lake Ln Houston 77008,,,,,
360,1517 Alexander St Houston 77008,29.796785,-95.408389,67,43,66
361,1519 Prince St Houston 77008,29.7903249,-95.4134053,68,37,64
362,1521 Knox St Houston 77007,29.761265,-95.4209414,52,41,60
363,1522 Colorado St Houston 77007,29.770765,-95.374701,72,65,76
364,1525 Birdsall St  E Houston 77007,,,,,
365,1526 Cortlandt St Houston 77008,29.804023,-95.395552,68,45,77
366,1527 Rutland St #5 Houston 77008,,,,,
367,1528 W 25th St Houston 77008,29.808826,-95.414769,58,42,55
368,1530 Bevis St Houston 77008,29.8066926,-95.4224409,66,38,67
369,1530 Nashua Houston 77008,29.800471,-95.412039,62,43,71
370,1533 A Dorothy Houston 77008,,,,,
